alert_id,alert_summary,alert_date,alert_time,alert_isin,alert_account_number,alert_account_id,alert_account_name,alert_trade_id
MSP0001,Possible market surveillance alert,05/02/2025,14:15:25,D5E8F2G9H4I7,RRM84ZQ9,Q4W8Z7,Globex Asset Management,P4DZHDS901
MSP0002,Possible market surveillance alert,05/22/2025,14:19:24,R8T4Y6U2I9O3,CPLX1023,T6R1P8,Pinnacle Investment Group,4QSNG72XO3
MSP0003,Possible market surveillance alert,05/16/2025,12:26:20,Z3X7C9V2B8N5,MXT4921,A7X9B2,Acme Capital Partners,DT5C43JWF1
MSP0004,Possible market surveillance alert,05/22/2025,11:56:59,A7X9B2C4D8E1,CPLX1023,T6R1P8,Pinnacle Investment Group,Q6Y21HNQRB
MSP0005,Possible market surveillance alert,05/19/2025,10:50:55,P3Q8R6S2T9U4,EQTZ4508,L9K2J8,Vanguard Demo Capital,70N8OL6NCQ
MSP0006,Possible market surveillance alert,05/26/2025,11:02:31,Z3X7C9V2B8N5,GTRM8821,R8T4Y6,Meridian Global Holdings,YRLIUY7PF3
MSP0007,Possible market surveillance alert,05/20/2025,13:51:05,Q4W8Z7L3M9N2,EQTZ4508,L9K2J8,Vanguard Demo Capital,13P24N6KIY
MSP0008,Possible market surveillance alert,05/21/2025,10:46:07,Q4W8Z7L3M9N3,M7KQ91LM,M2N7X4,Atlas Wealth Advisors,2A222XQZJ2
MSP0009,Possible market surveillance alert,05/19/2025,12:31:26,R8T4Y6U2I9O3,M9H2X7P3,Z3X7C9,Apex Fund Strategies,BFIEPYXQ4U
MSP0010,Possible market surveillance alert,05/02/2025,14:12:27,F1G7H9J3K8L2,MXT4921,A7X9B2,Acme Capital Partners,UTDU2KVBMP
MSP0011,Possible market surveillance alert,05/30/2025,11:10:48,M2N7X4V8C3B6,F9H2X7P3,Z3X7C9,Apex Fund Strategies,94BI3C4K7K
MSP0012,Possible market surveillance alert,05/14/2025,13:38:26,Q4W8Z7L3M9N2,HQLX73Z4,F1G7H9,Summit Demo Partners,S29XOOP3LG
MSP0013,Possible market surveillance alert,05/12/2025,10:07:29,Q4W8Z7L3M9N2,RRM84ZQ9,Q4W8Z7,Globex Asset Management,10ZQZF6S7F
MSP0014,Possible market surveillance alert,05/15/2025,13:49:47,Z3X7C9V2B8N5,GTRM8821,R8T4Y6,Meridian Global Holdings,FNIKYWVN8D
MSP0015,Possible market surveillance alert,05/12/2025,10:38:56,L9K2J8H4G7F1,M7KQ91LM,M2N7X4,Atlas Wealth Advisors,N6RZQJ18J2
MSP0016,Possible market surveillance alert,05/08/2025,13:56:35,Q4W8Z7L3M9N3,GTRM8821,R8T4Y6,Meridian Global Holdings,0JCDQ6EQZH
MSP0017,Possible market surveillance alert,05/22/2025,11:40:58,Q4W8Z7L3M9N3,RRM84ZQ9,Q4W8Z7,Globex Asset Management,TGQ4A1RZXP
MSP0018,Possible market surveillance alert,05/09/2025,13:27:01,Q4W8Z7L3M9N2,JXK920LM,D5E8F2,Zenith Investment Group,DXWD1O2BGR
MSP0019,Possible market surveillance alert,05/07/2025,11:48:51,D5E8F2G9H4I7,M9H2X7P3,Z3X7C9,Apex Fund Strategies,YDGV2GK79U
